"Raison Sociale";"Type";"Sous-type";"Ligne adresse 1";"Numéro";"Complément numéro";"Type de voie";"Voie";"Ligne adresse 3";"Boite postale";"Code postal";"Ville";"Bureau distributeur";"Indicateur cédex";"Cédex";"Téléphone";"Mail";"Adresse Web";"Longitude";"Latitude";
"Mémorial des Camps de la Mort (fermé pour travaux)";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"Quai";"Louis Brauquier";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 90 73 15";"";"http://memorial-des-camps-de-la-mort.marseille.fr";"5.364059";"43.299884";
"Lavoirs";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"";"";"";"";"13160";"Châteaurenard";"CHATEAURENARD";"non";"";"04 90 24 25 50";"ot@chateaurenard.col";"http://www.ot.chateaurenard.com";"4.855685";"43.8820059";
"Centre d'Art Contemporain";"cdt:MuseeEtAssimile";"Musée";"";"2";"";"Rue";"Alphonse Daudet";"";"";"13800";"Istres";"ISTRES";"non";"";"04 42 55 17 10";"centredart@ouestprovence.fr";"http://www.ouestprovence.fr";"4.988021";"43.512902";
"Musée des outils agraires";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"Du Jentelin";"";"129";"13838";"Châteaurenard";"CHATEAURENARD";"non";"";"04 90 90 11 59";"";"";"4.85547";"43.883121";
"Maison de la Transhumance";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"Hôtel de Ville";"";"";"";"";"";"";"13310";"Saint Martin de Crau";"SAINT MARTIN DE CRAU";"non";"";"04 90 47 99 54 04 90 18 29 21";"mdt@transhumance.org";"http://www.transhumance.org";"4.785554";"43.595995";
"Musée des amis de Castrum Vetus";"cdt:MuseeEtAssimile";"Musée";"4, Montée des Ruines";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 79 81 56";"";"http://castrum-vetus@neuf.fr";"5.146185";"43.390426";
"Musée du Patrimoine";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Passage";"De Bonjean";"";"";"13630";"Eyragues";"EYRAGUES";"non";"";"04 90 94 34 08";"";"";"4.7877941";"43.8669456";
"Crèche de M. Gaillardet";"cdt:MuseeEtAssimile";"Musée divers";"Mas grichaud";"";"";"Chemin";"";"La Crau";"";"13160";"Châteaurenard";"CHATEAURENARD";"non";"";"04 90 94 13 94";"";"http://mas.de.grichaud.free.fr/";"4.849889";"43.892444";
"Musée du santon Daniel Scaturro";"cdt:MuseeEtAssimile";"Musée d'entreprise";"";"20";"";"Avenue";"De Verdun";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 84 33 29";"daniel.scaturro@gmail.com";"http://www.santonsdanielscaturro.com";"5.573142";"43.28889";
"Maison de la Chasse et de la Nature";"cdt:MuseeEtAssimile";"Musée";"Mas de la Samatane";"";"";"RN";"113";"";"";"13310";"Saint Martin de Crau";"SAINT MARTIN DE CRAU";"non";"";"04 90 55 12 56";"";"";"4.916983";"43.64002";
"Collection du Méhari Club";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"";"";"";"";"13260";"Cassis";"CASSIS";"non";"";"04 42 01 07 68";"";"";"5.549764";"43.218326";
"Musée du Souvenir de la Légion Etrangère";"cdt:MuseeEtAssimile";"Musée";"";"";"";"";"";"Quartier Viénot";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 18 12 41";"museelegionetrangere@hotmail.com";"http://www.legion-etrangere.com";"5.55316";"43.293763";
"Centre International de la Poésie";"cdt:MuseeEtAssimile";"Musée divers";"Centre de la Vieille Charité";"2";"";"Rue";"De la Charité";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 91 26 45";"cipmarseille@wanadoo.fr";"http://www.cipmarseille.com";"5.368016";"43.300082";
"Musée du savon de Marseille. Marius Fabre";"cdt:MuseeEtAssimile";"Musée d'entreprise";"";"148";"";"Avenue";"Paul Bourret";"";"";"13300";"Salon de Provence";"SALON DE PROVENCE";"non";"";"04 90 53 82 75 04 90 53 24 77";"boutique@marius-fabre.fr";"http://www.marius-fabre.fr";"5.090461";"43.637957";
"Ciergerie ""l'Abbaye de Prémontrés""";"cdt:MuseeEtAssimile";"Musée d'entreprise";"Hôtel Souleïado";"39";"";"Rue";"Charles Deméry";"";"";"13150";"Tarascon";"TARASCON";"non";"";"04 90 91 76 05";"info@ciergerie.fr";"http://www.ciergerie.fr";"4.65752";"43.806044";
"Centre d'Art Valetudo";"cdt:MuseeEtAssimile";"Musée divers";"C/o Maison de Santé Saint Paul";"";"";"Route";"Des Baux de Provence";"";" 39";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 77 00";"maison.sante.st.paul@wanadoo.fr";"";"4.809744";"43.787711";
"Fondation Louis Jou";"cdt:MuseeEtAssimile";"Musée";"";"";"";"";"Grand'Rue Frédéric Mistral";"";"";"13520";"Les Baux de Provence";"LES BAUX DE PROVENCE";"non";"";"04 90 54 34 17";"morvan@wanadoo.fr";"http://perso.wanadoo.fr/fondationlouisjou/index.html";"4.79522";"43.744045";
"Musée du Sel";"cdt:MuseeEtAssimile";"Musée";"";"3";"";"Rue";"Claude Lautier";"";"";"13129";"Arles";"SALIN DE GIRAUD";"non";"";"06 70 47 88 12";"";"";"4.7314978";"43.4148071";
"Le Mas de la Pyramide";"cdt:MuseeEtAssimile";"Musée";"";"";"";"";"";"Saint Paul";"";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 00 81";"";"";"4.845673";"43.781562";
"Monastère Notre Dame de Beauregard et Musée villageois";"cdt:MuseeEtAssimile";"Musée";"Monastère Notre de Beauregard";"";"";"";"";"";"";"13660";"Orgon";"ORGON";"non";"";"06 22 62 33 54";"contact@nd-beauregard.com";"http://www.nd-beauregard.com";"5.028908";"43.784111";
"Musée Maurice Pezet, musée d'histoire locale";"cdt:MuseeEtAssimile";"Musée";"Vieux village";"";"";"";"";"";"";"13810";"Eygalières";"EYGALIERES";"non";"";"04 90 95 95 21";"";"";"4.955474";"43.763806";
"Donation Mario Prassinos";"cdt:MuseeEtAssimile";"Musée";"Chapelle Notre Dame de Pitié";"";"";"Avenue";"Durand Maillane";"";"";"13531";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 35 13";"";"";"4.83106";"43.786018";
"La Petite Provence du Paradou";"cdt:MuseeEtAssimile";"Musée";"";"75";"";"Avenue";"Vallée des Baux";"";"";"13520";"Le Paradou";"LE PARADOU";"non";"";"04 90 54 35 75";"lapetite.provence@wanadoo.fr";"http://www.lapetiteprovence.com";"4.77739";"43.720347";
"Station biologique de la Tour du Valat";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"";"";"";"";"";"Le Sambuc";"";"13200";"Arles";"ARLES";"non";"";"04 90 97 20 13";"";"http://www.tourduvalat.org/";"4.66773";"43.508659";
"Carrières de Lumières";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"";"Route de Maillane";"";"";"13520";"Les Baux de Provence";"LES BAUX DE PROVENCE";"non";"";"04 90 54 47 37";"message@carrieres-lumieres.com groupes@carrieres-lumieres.com";"http://www.carrieres-lumieres.com";"4.786592";"43.818829";
"Musée de Marignane";"cdt:MuseeEtAssimile";"Musée divers";"";"14";"";"Rue";"Covet";"";"";"13700";"Marignane";"MARIGNANE";"non";"";"04 42 88 95 36";"museemarignane.traditions@hotmail.fr";"";"5.215335";"43.417341";
"Musée du Riz";"cdt:MuseeEtAssimile";"Musée";"Petit Manusclat";"";"";"";"";"Le Sambuc";"";"13200";"Arles";"ARLES";"non";"";"04 90 97 29 44";"contact@museeduriz.fr";"http://www.museeduriz.fr";"4.708843";"43.494402";
"Four Banal";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"Rue";"Thérèse Rastit";"";"";"13260";"Cassis";"CASSIS";"non";"";"04 42 01 39 94";"m.raimondo-routier@cassis.fr";"";"5.5374131";"43.2150304";
"Musée de l'automobile";"cdt:MuseeEtAssimile";"Musée";"";"";"";"RN";"7";"";"";"13660";"Orgon";"ORGON";"non";"";"04 90 73 36 53";"p.delliere@aliceadsl.fr";"http://www.musee-auto-provence.com";"5.0286488";"43.7855819";
"Maison de Nostradamus";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"Nostradamus";"";"";"13300";"Salon de Provence";"SALON DE PROVENCE";"non";"";"04 90 56 64 31";"m.nostradamus@salon-de-provence.fr";"http://www.salon-de-provence.fr";"5.097813";"43.641049";
"Musée du savon";"cdt:MuseeEtAssimile";"Musée d'entreprise";"Savonnerie Le Fer à Cheval";"66";"";"Chemin";"De Sainte-Marthe";"";"";"13014";"Marseille";"MARSEILLE";"non";"";"04 91 10 30 95";"marketing@savon-de-marseille.com";"http://www.savon-de-marseille.com";"5.392161";"43.3362334";
"Cabinet des Monnaies et Médailles";"cdt:MuseeEtAssimile";"Musée";"Archives Municipales";"10";"";"Rue";"Clovis Hugues";"";"";"13003";"Marseille";"MARSEILLE";"non";"";"04 91 55 33 75";"jbouvry@mairie-marseille.fr";"http://www.marseille.fr/siteculture/les-lieux-culturels-municipaux/musees/le-cabinet-des-monnaies-et-medailles";"5.385708";"43.310036";
"Musée de la Marine et de l'Economie de Marseille";"cdt:MuseeEtAssimile";"Musée";"Palais de la Bourse";"";"";"";"La Canebière";"";"21856";"13221";"Marseille";"MARSEILLE";"oui";"1";"04 91 39 33 21";"";"http://www.ccimp.com/patrimoine";"5.379764";"43.297132";
"Musée Grobet-Labadié";"cdt:MuseeEtAssimile";"Musée";"";"140";"";"Boulevard";"Longchamp";"";"";"13001";"Marseille";"MARSEILLE";"non";"";"04 91 62 21 82";"";"http://musee-grobet-labadie.marseille.fr";"5.390355";"43.302356";
"Syndicat Mixte Parc Marin de la Côte Bleue";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"Observatoire";"31";"";"Avenue";"Jean Bart";"Plage du Rouet";"";"13620";"Carry le Rouet";"CARRY LE ROUET";"non";"";"04 42 45 45 07";"syndicatmixte@parcmarincotebleue.fr";"http://www.parcmarincotebleue.fr";"5.172412";"43.333967";
"Mas de la Cure - Maison du Cheval Camargue";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"Route";"D'Arles";"";"";"13460";"Saintes Maries de la Mer";"LES SAINTES MARIES DE LA MER";"non";"";"04 90 97 76 37";"";"";"4.426499";"43.457776";
"Centre d'Archéologie Antique - Hôtel de Sade";"cdt:MuseeEtAssimile";"Musée";"";"1";"";"Rue";"Du Parage";"";"";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 64 04";"";"";"4.830961";"43.78926";
"Salle d'exposition archéologique";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"";"";"Espace Wolf";"";"13680";"Lançon Provence";"LANCON DE PROVENCE";"non";"";"04 90 45 71 32";"accueil@lancon-provence-tourisme.com";"";"5.172402";"43.572702";
"Musée Jouenne";"cdt:MuseeEtAssimile";"Musée";"";"20";"";"Boulevard";"Mirabeau";"";"";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 32 60 00 51";"info@musee-jouenne.com";"http://www.musee-jouenne.com";"4.833516";"43.789243";
"La maison de l' Amandier";"cdt:MuseeEtAssimile";"Musée";"";"2";"";"Rue";"Rue Du parage";"";"";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 02 28";"";"";"4.8307954";"43.7894742";
"Maison des Arts et Traditions Provençales";"cdt:MuseeEtAssimile";"Musée divers";"Place Fernand Brun";"";"";"";"";"";"";"13680";"Lançon Provence";"LANCON DE PROVENCE";"non";"";"04 90 42 74 82";"";"";"5.1536327";"43.5695806";
"Musée Moulin Seigneurial";"cdt:MuseeEtAssimile";"Musée";"";"1";"";"Rue";"Curie";"";"";"13880";"Velaux";"VELAUX";"non";"";"04 42 87 73 59";"m.calvier@mairie-de-velaux.fr";"";"5.256677";"43.52897";
"Musée de l'Ecole et de l'Education";"cdt:MuseeEtAssimile";"Musée";"893 Avenue Salvador Allende";"";"";"";"";"";"";"13190";"Allauch";"ALLAUCH";"non";"";"07 87 64 18 23";"association@memoiredecole.fr";"http://www.memoiredecole.fr";"5.4825739";"43.336148";
"Le Château Féodal des Comtes de Provence";"cdt:MuseeEtAssimile";"Musée";"";"";"";"";"";"11 Cours Carnot";"";"13160";"Châteaurenard";"CHATEAURENARD";"non";"";"04 90 24 25 50";"ot@chateaurenard.com";"http://ot.chateaurenard.com";"4.834354";"43.882862";
"Musée archéologique municipal de Pélissanne";"cdt:MuseeEtAssimile";"Musée";"Ancien Hôtel de Ville";"";"";"Place";"Cabardel";"";"";"13330";"Pélissanne";"PELISSANNE";"non";"";"04 90 55 11 87";"";"";"5.149714";"43.630243";
"Musée municipal Paul Lafran";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Des Pénitents";"";"";"13250";"Saint Chamas";"ST CHAMAS";"non";"";"04 90 50 85 61";"musee.paullafran@free.fr";"";"5.034038";"43.549521";
"Village-Musée de Fos sur Mer";"cdt:MuseeEtAssimile";"Musée divers";"Village Musée";"";"";"Place";"De l'Hôtel de Ville";"";"";"13270";"Fos sur Mer";"FOS SUR MER";"non";"";"04 42 47 71 96";"tourisme@mairie-fos-sur-mer.fr";"http://www.fos-sur-mer.fr";"4.946471";"43.436965";
"Musée des Alpilles";"cdt:MuseeEtAssimile";"Musée";"Hôtel Mistral de Mondragon";"";"";"Place";"Favier";"";"";"13538";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 68 24";"musee.alpilles@wanadoo.fr";"http://www.musees-mediterranee.org/3/fiche-musee.html";"4.8300367";"43.7885909";
"Musée de la Réparation Navale";"cdt:MuseeEtAssimile";"Musée";"";"7";"";"Boulevard";"Des Bassins de Radoub";"Porte 3A devant la forme 7";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 98 81 67";"";"";"5.361527";"43.322931";
"Musée de la Faïence";"cdt:MuseeEtAssimile";"Musée";"";"157";"";"Avenue";"De Montredon";"Campagne Pastré";"";"13008";"Marseille";"MARSEILLE";"non";"";"04 91 72 43 47";"musee-grobet-labadie@marseille.fr";"http://musee-de-la-faience.marseille.fr";"5.36705";"43.240149";
"Musée d'Arts Africains, Océaniens et Amérindiens";"cdt:MuseeEtAssimile";"Musée";"Centre de la Vieille Charité";"2";"";"Rue";"De la Charité";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 14 58 38";"bcoutancier@mairie-marseille.fr";"http://maaoa.marseille.fr";"5.368016";"43.300082";
"Centre d'art Château La Coste";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"";"2750";"";"Route";"De la Cride";"";"";"13610";"Le Puy Sainte Réparade";"LE PUY SAINTE REPARADE";"non";"";"04 42 61 92 92";"reservations@chateau-la-coste.com";"http://www.chateau-la-coste.com";"5.420026";"43.636658";
"Musée d'Archéologie Méditerranéenne";"cdt:MuseeEtAssimile";"Musée";"Centre de la Vieille Charité";"2";"";"Rue";"De la Charité";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 14 58 58";"";"http://www.marseille.fr/siteculture/les-lieux-culturels-municipaux/musees/le-musee-darcheologie-mediterraneenne";"5.368016";"43.300082";
"Musée des Docks Romains";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"";"";"";"Place";"Vivaux";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 91 24 62";"dgac-museearcheologie@mairie-marseille.fr";"http://musee-des-docks-romains.marseille.fr";"5.368303";"43.296718";
"Musée Suffren et du Vieux Saint-Cannat";"cdt:MuseeEtAssimile";"Musée";"Espace Suffren";"3";"";"Avenue";"Pasteur";"";"";"13760";"Saint Cannat";"SAINT CANNAT";"non";"";"04 42 50 82 00";"";"http://www.ville-saint-cannat.fr";"5.296409";"43.621667";
"Musée de géologie et d'ethnographie";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Cours";"Foch";"";"";"13640";"La Roque d'Anthéron";"LA ROQUE D'ANTHERON";"non";"";"04 42 53 41 32";"musee.geoethno@orange.fr";"http://www.musee-geologie-ethnographie-laroque.com";"5.309179";"43.717258";
"Petit Musée des silos de Jouques";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"";"39";"";"Rue";"Grande";"";"";"13490";"Jouques";"JOUQUES";"non";"";"04 42 63 75 04";"jouquestourisme@wanadoo.fr";"";"5.639676";"43.637353";
"Ecomusée de la Forêt Méditerranéenne";"cdt:MuseeEtAssimile";"Eco-musée";"";"";"";"Chemin";"De Roman - RD 7";"";"";"13120";"Gardanne";"GARDANNE";"non";"";"04 42 65 42 10";"contact@institut-foret.com";"http://www.institut-foret.com";"5.4672962";"43.4590719";
"Musée archéologique de Simiane";"cdt:MuseeEtAssimile";"Musée";"Mairie de Simiane";"";"";"";"";"";"";"13109";"Simiane Collongue";"SIMIANE COLLONGUE";"non";"";"04 42 22 71 19";"";"";"5.435889";"43.415284";
"Museum d'histoire naturelle";"cdt:MuseeEtAssimile";"Musée";"";"6";"";"Rue";"Espariat";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 27 91 27";"museum_aix@yahoo.fr";"http://www.museum-aix-en-provence.org";"5.448917";"43.527972";
"Musée Gardanne Autrefois";"cdt:MuseeEtAssimile";"Musée";"";"19 & 21";"";"Rue";"Courbet";"";"";"13120";"Gardanne";"GARDANNE";"non";"";"04 42 51 02 73";"mireille.arnoux@laposte.net";"http://www.gardanne-autrefois.org";"5.469295";"43.454638";
"Puits de Mine Hély d'Oissel/ Musée de la mine";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"Pôle Historique Minier";"";"";"";"";"";"";"13850";"Gréasque";"GREASQUE";"non";"";"04 42 69 77 00";"info@poleminier.com";"http://www.poleminier.com";"5.54699";"43.424807";
"Musée de l'Uniforme Légionnaire";"cdt:MuseeEtAssimile";"Musée";"Domaine Capitaine Danjou";"";"";"Chemin";"Pallière";"Institution des invalides de la légion étrangère";"";"13114";"Puyloubier";"PUYLOUBIER";"non";"";"04 42 91 45 06 04 42 91 45 02 04 42 91 45 01";"service-clientele@legion-boutique.com";"http://www.legion-boutique.com";"5.668602";"43.523161";
"Musée des papillons de Fuveau";"cdt:MuseeEtAssimile";"Musée";"";"39";"";"Chemin";"Des Pradels";"";"";"13710";"Fuveau";"FUVEAU";"non";"";"04 42 68 15 88";"";"http://www.musee-papillons.fr";"5.582748";"43.456638";
"Galerie de l'Histoire de Martigues";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"Rond-point";"De l'Hôtel de ville";"";"";"13500";"Martigues";"MARTIGUES";"non";"";"04 42 44 31 51";"culture@ville-martigues.fr";"http://www.mairie-martigues.fr";"5.048119";"43.405759";
"Fondation Saint John Perse";"cdt:MuseeEtAssimile";"Musée divers";"Cité du Livre";"8-10";"";"Rue";"Des Allumettes";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"oui";"2";"04 42 91 98 85";"fondationsaintjohnperse@orange.fr";"http://www.fondationsaintjohnperse.fr";"5.439458";"43.524035";
"Musée provençal des transports";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"Gare SNCF La Barque";"";"";"";"";"";"";"13710";"Fuveau";"FUVEAU";"non";"";"06 63 19 76 43";"ccpva@free.fr";"http://cppva.free.fr";"5.554128";"43.457583";
"Mémorial d'évocation vaudois et huguenot";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Paul Cézanne";"";"";"13640";"La Roque d'Anthéron";"LA ROQUE D'ANTHERON";"non";"";"04 42 50 70 74";"omt@ville-laroquedantheron.fr";"http://www.ville-laroquedantheron.fr";"5.310388";"43.715487";
"Musée d'art local et d'archéologie de lambesc";"cdt:MuseeEtAssimile";"Musée";"";"2";"";"Rue";"Du Jas";"";"";"13410";"Lambesc";"LAMBESC";"non";"";"04 42 59 36 20";"";"http://musee.lambesc.free.fr";"5.261829";"43.651131";
"Musée Arteum";"cdt:MuseeEtAssimile";"Musée";"Le Château - Hôtel de Ville";"";"";"";"";"";"";"13790";"Châteauneuf le Rouge";"CHATEAUNEUF LE ROUGE";"non";"";"04 42 58 61 53";"mac.arteum@wanadoo.fr";"http://www.mac-arteum.net";"5.561657";"43.454788";
"Musée rural d'histoire locale";"cdt:MuseeEtAssimile";"Musée";"";"74";"";"Rue";"Grande";"";"";"13490";"Jouques";"JOUQUES";"non";"";"04 42 63 76 12";"jouquestourisme@wanadoo.fr";"";"5.639975";"43.637362";
"Musée Sahut";"cdt:MuseeEtAssimile";"Musée";"Mairie de Simiane";"";"";"Place";"De la Mairie";"";"";"13109";"Simiane Collongue";"SIMIANE COLLONGUE";"non";"";"04 42 94 91 94";"communication@mairie-simiane-collongue.fr";"http://www.mairie-simiane-collongue.fr";"5.434715";"43.430319";
"Musée de Ventabren";"cdt:MuseeEtAssimile";"Musée";"";"4";"";"Boulevard";"De Provence";"";"";"13122";"Ventabren";"VENTABREN";"non";"";"04 42 28 76 47";"omt@ventabren.fr";"";"5.293317";"43.539247";
"Musée Estienne de Saint Jean";"cdt:MuseeEtAssimile";"Musée";"";"17";"";"Rue";"Gaston de Saporta";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"00 00 00 00 00";"";"http://www.mairie-aixenprovence.fr";"5.447391";"43.531205";
"Musée de plein air Paul Cézanne";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"";"";"";"Boulevard";"Paul Cézanne";"";"";"13120";"Gardanne";"GARDANNE";"non";"";"04 42 51 02 73";"officedutourismegardanne@yahoo.fr";"";"5.48555";"43.458541";
"Musée des Tapisseries";"cdt:MuseeEtAssimile";"Musée";"Ancien Palais de l'Archevêché";"28";"";"Place";"Des Martyrs de la Résistance";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 23 09 91";"animationpavillon@mairie-aixenprovence.fr";"http://www.aixenprovencetourism.com/aix-musees.htm";"5.447656";"43.531401";
"Musée de la faïence Paul Arbaud";"cdt:MuseeEtAssimile";"Musée";"";"2";"";"Rue";"Du 4 Septembre";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 38 38 95";"musee.arbaud@dbmail.com";"http://www.academiedaix.org/";"5.450032";"43.526195";
"La Capelière";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"Société Nationale de Protection de la Nature";"";"";"";"";"";"";"13200";"Arles";"ARLES";"non";"";"04 90 97 00 97";"camargue-rn@espaces-naturels.fr";"http://www.reserve-camargue.org";"4.642925";"43.535234";
"Mémorial de la Marseillaise";"cdt:MuseeEtAssimile";"Musée divers";"";"25";"";"Rue";"Thubaneau";"";"";"13001";"Marseille";"MARSEILLE";"non";"";"04 91 91 91 97";"";"http://www.memorial-marseillaise.com";"5.378753";"43.2978723";
"Musée Grévin de la Provence";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Des Centuries";"";"";"13300";"Salon de Provence";"SALON DE PROVENCE";"non";"";"04 90 56 36 30";"m.grevin@salon-de-provence.org";"";"5.09816";"43.639899";
"Musée des symboles et du sacré";"cdt:MuseeEtAssimile";"Musée";"";"11";"";"Place";"Du Docteur Chevillon";"";"";"13190";"Allauch";"ALLAUCH";"non";"";"04 91 10 49 00";"musee@allauch.com";"http://musee.allauch.com";"5.509247";"43.3609248";
"Musée des Santons des Baux";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Louis Jou";"";"";"13520";"Les Baux de Provence";"LES BAUX DE PROVENCE";"non";"";"04 90 54 34 39";"tourisme@lesbauxdeprovence.com";"http://www.lesbauxdeprovence.com";"4.794948";"43.744425";
